,post_id,date,post_text
0,45100,2026-01-22,«Зерно БРИКС». Ячмень
1,45126,2026-01-23,"🇮🇳🧠 Команда биоинженеров из Индии запустила две интеллектуальные платформы, которые помогают исследователям изучать заболевания мозга, находить биомаркеры и разрабатывать лекарства.

1️⃣ Первая платформа – BrainProt – объединяет биологические данные из разных источников в единую базу. Сейчас она содержит информацию о 56 заболеваниях мозга и 52 наборах данных из различных областей молекулярной биологии, что позволяет изучать работу мозга в нормальном состоянии и во время изменений, возникающих при заболеваниях.

2️⃣ Вторая платформа – DrugProtAI – предназначена для оценки того, может ли белок стать мишенью для лекарств с учетом его биологических и физико-химических свойств.

Интеграция двух систем позволяет исследователям всего за час пройти путь от выявления маркера заболевания до анализа изменений активности генов."
2,45124,2026-01-23,"🇻🇳📈  Экспорт компьютеров, электроники и комплектующих из Вьетнама в 2025 году превысил 8,19 трлн рублей. Показатель составил около 23 % от общего экспортного оборота страны и резко вырос в годовом исчислении – на 48,4 %.

По данным таможни, электроника обеспечила более половины общего роста экспорта, а поставки в Китай достигли 1,3 трлн рублей.

Декабрь стал рекордным: общий экспорт товаров впервые составил 3,34 трлн рублей. Новые максимумы показали текстиль, обувь и древесина, а рост зафиксирован у 40 из 45 ключевых экспортных групп."
3,45123,2026-01-23,
4,45122,2026-01-23,"🇦🇪  ОАЭ планируют к 2027 году внедрить системы искусственного интеллекта в работу органов власти Абу-Даби и полностью автоматизировать государственные операции.

ИИ уже активно используется в разных сферах, в том числе в туризме. В международном аэропорту Абу-Даби биометрические системы уже сократили время регистрации пассажиров на 70 %. Аналогичные технологии внедряются и в отелях Дубая для автоматизации заселения гостей.

На реализацию Стратегии цифрового правительства Абу-Даби на 2025–2027 годы власти планируют направить около 269 млрд рублей.

Подробности здесь. (https://tvbrics.com/news/vlasti-oae-planiruyut-vnedrit-iskusstvennyy-intellekt-v-sistemu-gosupravleniya-abu-dabi-k-2027-godu/)"
5,45121,2026-01-23,"«Режим питания нарушать нельзя»: как и сколько едят космонавты на МКС

Полугодовая экспедиция космонавтов делится на циклы по 16 дней, в течение которых каждый суточный рацион состоит из разных, заранее утверждённых основных блюд.

🔹 Передумать и съесть вместо рыбы булочку можно, но нежелательно – нарушится баланс КБЖУ, а он – важная составляющая здоровья.

Отправляясь на МКС, космонавты берут с собой два типа контейнеров с
продуктами: для основного меню, дополнительные – с любимой едой

📎  Дополнительные контейнеры формируются из блюд, получивших высокие оценки при дегустации. У каждого космонавта шесть таких контейнеров.

Штатный бортовой рацион включает около 200 наименований продуктов и напитков. Большая часть из них – сублимированные.

Источник: первый и единственный официальный телеграм-канал Госкорпорации «Роскосмос» (https://t.me/roscosmos_gk)."
6,45120,2026-01-23,"🌐 Специалист в области международных инвестиций Анкур Гоэль: «БРИКС оказывает значимую поддержку предпринимателям»

Интерес к инвестициям в экономики стран БРИКС и БРИКС+ продолжает расти. Между государствами действует около 18 двусторонних инвестиционных соглашений, создающих условия для взаимных капиталовложений. При этом выход на иностранные рынки по-прежнему требует внимательного подхода.

➡️ Почему при запуске бизнеса за рубежом важна индивидуальная стратегия для каждой страны?

➡️ Как учитывать региональный спрос, законодательство и культурные тренды при международных сделках?

➡️ И на какие направления стоит обратить внимание инвесторам БРИКС+ в ближайшие 5-10 лет?

Об этом – в нашем интервью с Анкуром Гоэлем.

СМОТРЕТЬ (https://tvbrics.com/shows/spetsialist-v-oblasti-mezhdunarodnykh-investitsiy-ankur-goel-briks-okazyvaet-znachimuyu-podderzhku-p/)"
7,45119,2026-01-23,"Президент Бразилии Лула да Силва обсудил по телефону с премьер-министром Индии Нарендрой Моди и председателем КНР Си Цзиньпином укрепление стратегического партнерства и расширение торгово-экономического сотрудничества.

🔹Главной темой разговора с Нарендрой Моди стала подготовка к государственному визиту Лулы в Индию, который запланирован на 19–21 февраля.

🔹 В беседе с Си Цзиньпином китайский лидер назвал Китай и Бразилию стабилизирующими силами в турбулентном мире и отметил их роль в поддержании стабильности и совершенствовании глобального управления как участников Глобального Юга.

Подробности – в материале. (https://tvbrics.com/news/prezident-brazilii-provel-telefonnye-peregovory-s-liderami-kitaya-i-indii/)"
8,45117,2026-01-23,"🇷🇺🧀  Ученые из ЮУрГУ разработали рецептуру мягкого рассольного сыра, содержащего берберин – природный антиоксидант.

Берберин обладает противовоспалительными и антидепрессивными свойствами, способствует нормализации уровня холестерина, поддерживает работу печени и иммунной системы, а также улучшает обмен веществ.

Чтобы в процессе производства сохранить биоактивные свойства вещества, исследователи применили новую систему его доставки в матрицу продукта – специальную эмульсию.

Полученная с помощью ультразвука, она позволяет удерживать берберин в активном состоянии и улучшает его усвоение организмом, пояснил преподаватель ЮУрГУ Аммар Кади."
9,45116,2026-01-23,"🇨🇳🇨🇱 Первая совместная китайско-чилийская пилотируемая глубоководная экспедиция отправилась к Атакамской впадине на китайском научно-исследовательском судне «Исследователь № 1».

📌 Цель миссии – изучение одной из самых глубоких точек Тихого океана. На борту судна находится обитаемый аппарат с помощью которого ученые планируют собрать образцы грунта и живых организмов, а также изучить геологическое строение желоба.

Экспедиция сосредоточена на поиске новых форм жизни, исследовании причин землетрясений и цунами в регионе и оценке роли впадины в углеродном цикле. Полученные данные могут быть важны для биомедицины и сейсмологии."
